cliente_id,nome,email,telefone
1,Igor Martins,carlosalmeida@email.com,
2,Eduardo Lima,fernandarocha@email.com,922262651
3,Helena Souza,helenasouza@email.com,
4,Ana Silva,helenasouza@email.com,
5,Eduardo Lima,carlosalmeida@email.com,936048114
6,Fernanda Rocha,gabrielmendes@email.com,990107481
7,Juliana Ribeiro,fernandarocha@email.com,965392710
8,Eduardo Lima,,987088148
9,Ana Silva,eduardolima@email.com,930686313
10,Juliana Ribeiro,gabrielmendes@email.com,906348669
11,Bruno Santos,gabrielmendes@email.com,944912077
12,Carlos Almeida,helenasouza@email.com,955959323
13,Bruno Santos,helenasouza@email.com,970029995
14,Igor Martins,,997174855
15,Juliana Ribeiro,,
16,Igor Martins,igormartins@email.com,939773259
17,Eduardo Lima,gabrielmendes@email.com,959837750
18,Helena Souza,danielacosta@email.com,987596407
19,Ana Silva,eduardolima@email.com,962069752
20,Eduardo Lima,fernandarocha@email.com,900014714
21,Fernanda Rocha,,927181969
22,Bruno Santos,julianaribeiro@email.com,967217099
23,Carlos Almeida,igormartins@email.com,951106917
24,Igor Martins,,949091863
25,Bruno Santos,,998778191
26,Helena Souza,anasilva@email.com,928175345
27,Juliana Ribeiro,julianaribeiro@email.com,981073888
28,Bruno Santos,fernandarocha@email.com,
29,Juliana Ribeiro,julianaribeiro@email.com,918426178
30,Daniela Costa,fernandarocha@email.com,991381085
31,Bruno Santos,helenasouza@email.com,
32,Eduardo Lima,helenasouza@email.com,942679121
33,Gabriel Mendes,,905628240
34,Gabriel Mendes,eduardolima@email.com,934987879
35,Bruno Santos,julianaribeiro@email.com,904311710
36,Ana Silva,,929410730
37,Eduardo Lima,danielacosta@email.com,
38,Carlos Almeida,,907907983
39,Carlos Almeida,carlosalmeida@email.com,
40,Igor Martins,eduardolima@email.com,938396895
41,Igor Martins,julianaribeiro@email.com,
42,Gabriel Mendes,anasilva@email.com,
43,Gabriel Mendes,gabrielmendes@email.com,983445947
44,Bruno Santos,danielacosta@email.com,
45,Juliana Ribeiro,julianaribeiro@email.com,948449692
46,Helena Souza,fernandarocha@email.com,903247609
47,Igor Martins,julianaribeiro@email.com,941837197
48,Daniela Costa,anasilva@email.com,905412545
49,Juliana Ribeiro,,933087138
50,Fernanda Rocha,danielacosta@email.com,946316496
